,,,Suburbs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postcode,Population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0872,872,15483,Gibson Desert North,Gibson Desert South,Ngaanyatjarra-Giles,Ali Curung,Amoonguna,Ampilatwatja,Anmatjere,Areyonga,Burt Plain,Canteen Creek,Chilla Well,Costello,Davenport (NT),Engawala,Finke,Ghan,Haasts Bluff,Hart (NT),Hermannsburg,Hugh,Imanpa,Kaltukatjara,Kintore,Kunparrka,Lake Mackay,Laramba,Mount Liebig,Mutitjulu,Namatjira,Nyirripi,Papunya,Petermann,Sandover,Santa Teresa,Simpson (NT),Tanami (NT),Tara (NT),Ti Tree,Titjikala,Wallace Rockhole,Willowra,Wilora,Wutunugurra,Yuelamu,Yuendumu,Yulara,,
0880,880,5952,Gapuwiyak,Gunyangara,Nhulunbuy,Yirrkala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0885,885,987,Alyangula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0886,886,1128,Jabiru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2000,22758,Barangaroo,Dawes Point,Haymarket,Millers Point,Sydney,The Rocks (Sydney - NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2006,1155,Camperdown (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2007,7111,Ultimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2008,6296,Chippendale,Darlington (Sydney - NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2009,11617,Pyrmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2010,25404,Darlinghurst,Surry Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2011,18040,Elizabeth Bay,Potts Point,Rushcutters Bay,Woolloomooloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015,8427,Alexandria,Beaconsfield (NSW),Eveleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016,12033,Redfern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017,14469,Waterloo (NSW),Zetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018,15397,Eastlakes,Rosebery (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019,8900,Banksmeadow,Botany,Botany Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2020,10178,Mascot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2021,14239,Centennial Park (NSW),Moore Park,Paddington (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
